,intent,object coverage,F1 test
0,"[('sex', 'thalach 70-95', 'thalach 186-202', 'oldpeak 1.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 2'), ('sex', 'thalach 70-95', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 3')]",1.0,0.874
1,"[('sex', 'age 29-40', 'thalach 186-202', 'oldpeak 2.', 'ca = 0', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1'), ('sex', 'thalach 70-95', 'oldpeak 2.', 'oldpeak 3.-6.', 'slope = 0', 'ca = 1', 'ca = 2', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1')]",1.0,0.871
2,"[('sex', 'age 29-40', 'cp = 1', 'thalach 70-95', 'thalach 186-202', 'ca = 0', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1'), ('sex', 'thalach 70-95', 'oldpeak 2.', 'oldpeak 3.-6.', 'slope = 0', 'ca = 1', 'ca = 2', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1')]",1.0,0.881
3,"[('sex', 'thalach 186-202', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 2'), ('sex', 'thalach 70-95', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 3')]",1.0,0.867
4,"[('sex', 'thalach 70-95', 'oldpeak 1.', 'ca = 1', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 3'), ('sex', 'thalach 186-202', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 2')]",1.0,0.861
5,"[('sex', 'thalach 70-95', 'oldpeak 1.', 'oldpeak 2.', 'oldpeak 3.-6.', 'slope = 0', 'ca = 1', 'ca = 2', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1'), ('sex', 'age 29-40', 'cp = 3', 'thalach 70-95', 'thalach 186-202', 'ca = 0', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1')]",1.0,0.883
6,"[('sex', 'thalach 70-95', 'oldpeak 1.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 3'), ('sex', 'thalach 186-202', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 2')]",1.0,0.868
7,"[('sex', 'thalach 70-95', 'oldpeak 2.', 'ca = 1', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 3'), ('sex', 'thalach 186-202', 'oldpeak 2.', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1', 'thal = 2')]",1.0,0.867
8,"[('sex', 'age 29-40', 'cp = 1', 'thalach 70-95', 'thalach 186-202', 'slope = 2', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1'), ('sex', 'thalach 70-95', 'oldpeak 1.', 'oldpeak 2.', 'oldpeak 3.-6.', 'slope = 0', 'ca = 1', 'ca = 2', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1')]",0.93,0.88
9,"[('sex', 'thalach 70-95', 'oldpeak 3.-6.', 'slope = 0', 'ca = 1', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1'), ('sex', 'age 29-40', 'thalach 186-202', 'oldpeak 2.', 'ca = 0', 'ca = 3', 'ca = 4', 'ca = 5', 'thal = 0', 'thal = 1')]",0.93,0.869
